Name,Ghana Post GPS,Latitude,Longitude,Category
GREAT HALL,,5.6502,-0.1908,Landmark/Event Venue
UNIVERSITY POST OFFICE,,5.6495,-0.188,Service
BANK OF GHANA (UG BRANCH),,5.6487,-0.1882,Service
UNIVERSITY POLICE STATION,,5.6455,-0.193,Service
UNIVERSITY GUEST CENTRE,,5.647,-0.1905,Lodging
DEPARTMENT OF COMPUTER SCIENCE,,5.6522,-0.1848,Academic Department
FACULTY OF ENGINEERING SCIENCES,,5.6528,-0.1842,Academic Faculty
SCHOOL OF BIOLOGICAL SCIENCES,,5.6509,-0.1835,Academic School
SCHOOL OF PHYSICAL SCIENCES,,5.6515,-0.1838,Academic School
SCHOOL OF AGRICULTURE,,5.641,-0.186,Academic School
SCHOOL OF VETERINARY MEDICINE,,5.6405,-0.1865,Academic School
NURSING AND MIDWIFERY SCHOOL,,5.6458,-0.1902,Academic School
PHARMACY DEPARTMENT,,5.6462,-0.1908,Academic Department
DENTISTRY DEPARTMENT,,5.6464,-0.191,Academic Department
COLLEGE OF EDUCATION,,5.6435,-0.1875,College
COLLEGE OF HEALTH SCIENCES,,5.645,-0.19,College
UNIVERSITY ADMINISTRATION BLOCK,,5.649,-0.19,Administrative
ADMISSIONS OFFICE,,5.6488,-0.1898,Administrative
STUDENT AFFAIRS UNIT,,5.6486,-0.1896,Administrative
ACADEMIC AFFAIRS DIRECTORATE,,5.6484,-0.1894,Administrative
UNIVERSITY AUDITORIUM,,5.6499,-0.1907,Event Venue
UNIVERSITY BOOKSHOP,,5.6493,-0.1885,Retail
UNIVERSITY PRESS,,5.6491,-0.1883,Service
UNIVERSITY GUEST HOUSE,,5.6472,-0.1907,Lodging
SPORTS COMPLEX (Indoor),,5.6395,-0.1955,Sports Facility
SWIMMING POOL,,5.639,-0.196,Sports Facility
LECTURE HALL COMPLEX (New),,5.6503,-0.1875,Academic Building
LECTURE HALL COMPLEX (Old),,5.6501,-0.1878,Academic Building
UNIVERSITY CLINIC,,5.6461,-0.1901,Health Facility
UNIVERSITY CHAPEL,,5.6497,-0.1912,Religious Site
ISLAMIC CENTRE,,5.6496,-0.191,Religious Site
CATHOLIC CHURCH (UG),,5.6495,-0.1911,Religious Site
PROTESTANT CHAPEL (UG),,5.6494,-0.1913,Religious Site
COMPUTER SCIENCE LABS,,5.6523,-0.1847,Academic Lab
BIOLOGY LABS,,5.6508,-0.1834,Academic Lab
CHEMISTRY LABS,,5.651,-0.1832,Academic Lab
PHYSICS LABS,,5.6512,-0.183,Academic Lab
GEOLOGY LABS,,5.6513,-0.1841,Academic Lab
UNIVERSITY SECURITY POST 1,,5.65,-0.192,Security
UNIVERSITY SECURITY POST 2,,5.64,-0.185,Security
UNIVERSITY GATES (Main),,5.637,-0.187,Entrance
UNIVERSITY GATES (Okponglo),,5.645,-0.175,Entrance
UNIVERSITY GATES (Atomic),,5.655,-0.185,Entrance
UNIVERSITY GATES (Staff Village),,5.648,-0.195,Entrance
VICE-CHANCELLOR'S RESIDENCE,,5.6478,-0.19,Residential
PRO-VICE-CHANCELLOR'S RESIDENCE,,5.6476,-0.1902,Residential
REGISTRAR'S RESIDENCE,,5.6474,-0.1904,Residential
SENIOR STAFF CLUB,,5.6482,-0.1906,Social
JUNIOR STAFF CLUB,,5.648,-0.1908,Social
UNIVERSITY FARM,,5.635,-0.18,Research/Farm
SCHOOL OF CONTINUING AND DISTANCE EDUCATION,,5.643,-0.188,Academic School
INSTITUTE OF AFRICAN STUDIES,,5.6506,-0.1906,Research Institute
REGIONAL INSTITUTE FOR POPULATION STUDIES (RIPS),,5.6504,-0.1904,Research Institute
CENTRE FOR GENDER STUDIES AND ADVOCACY (CEGENSA),,5.6492,-0.1902,Research Centre
INSTITUTE OF ENVIRONMENTAL AND SANITATION STUDIES (IESS),,5.652,-0.184,Research Institute
SCHOOL OF NUTRITION AND DIETETICS,,5.6452,-0.1901,Academic School
SCHOOL OF ALLIED HEALTH SCIENCES,,5.6454,-0.1903,Academic School
SCHOOL OF DENTAL SCIENCES,,5.6456,-0.1905,Academic School
COLLEGE OF AGRICULTURAL AND ENVIRONMENTAL SCIENCES,,5.6415,-0.1855,College
COLLEGE OF EDUCATION (Main Building),,5.6436,-0.1876,Academic Building
UNIVERSITY HEALTH SERVICES,,5.64605,-0.19005,Health Facility
UNIVERSITY COUNSELING CENTRE,,5.6489,-0.1897,Service
UNIVERSITY COMPUTING AND INFORMATION SYSTEMS (UG-CIS),,5.6519,-0.1852,IT Services
UNIVERSITY PRINTING PRESS,,5.649,-0.1881,Service
UNIVERSITY STORES,,5.6485,-0.188,Service
UNIVERSITY TRANSPORT SECTION,,5.647,-0.192,Service
UNIVERSITY WORKS AND PHYSICAL DEVELOPMENT,,5.6468,-0.1918,Administrative
UNIVERSITY AUDIT DEPARTMENT,,5.64875,-0.1899,Administrative
UNIVERSITY PUBLIC AFFAIRS DIRECTORATE,,5.64865,-0.189,Administrative
